language,title,author,lyrics
english,Why Have You Chosen Me?,Rodger Strader,"Why have You chosen me out of millions Your child to be?
You know all the wrong that I have done.
O how could you pardon me, forgive my iniquity,
to save me give Jesus Your Son?
But Lord help me be what You want me to be.
Your word I will strive to obey.
My life I now give, for You I will live,
and walk by Your side all the way.

I am amazed to know that a God so great could love me so,
He is willing and wanting to bless.
His grace is so wonderful, His mercy is so bountiful,
I can not understand it I confess.
O Lord help me be what You want me to be.
Your word I will strive to obey.
My life I now give, for You I will live,
and walk by Your side all the way.

In this world of darkness many lives are filled with emptiness,
They too need to know of Your love.
O Lord help me point to them the truth, the life, the way,
and bless each life I meet day to day.
O Lord help me be what You want me to be.
Your word I will strive to obey.
My life I now give, for You I will live,
and walk by Your side all the way."
indonesia,Berjalan Ke Sion,Isaac Watts,"Hai sekalian orang yang
mengasihi Tuhan.
Hendaklah kamu pun datang,
hendaklah kamu pun datang
menyanyi pujian,
menyanyi pujian.
Ke Sion, ke Sion, kami berjalan ke Sion.
ikutlah kami ke Sion, berjalan ke kota Allah.

Masamlah mukanya
yang belum kenal Tuhan.
Yang ada Bapa di surga,
yang ada Bapa di surga,
bersuka-sukaan,
bersuka-sukaan.
Ke Sion, ke Sion, kami berjalan ke Sion.
ikutlah kami ke Sion, berjalan ke kota Allah.

Sebelum kami sampai
kota Sion itu,
beribu padang yang permai,
beribu padang yang permai
yang kami mau lalu,
yang kami mau lalu.
Ke Sion, ke Sion, kami berjalan ke Sion.
ikutlah kami ke Sion, berjalan ke kota Allah.

Kami sekalian tuju
ke kota yang indah.
sapulah air matamu,
sapulah air matamu.
bersorak-soraklah,
bersorak-soraklah.
Ke Sion, ke Sion, kami berjalan ke Sion.
ikutlah kami ke Sion, berjalan ke kota Allah."
english,We are Marching To Zion,Isaac Watts,"""Come, we that love the Lord,
and let our joys be known.
Join in a song with sweet accord,
join in a song with sweet accord,
And thus surround the throne,
And thus surround the throne.
We are marching to Zion,
beautiful, beautiful Zion.
We are marching upward to Zion,
The beautiful city of God.

The sorrows of the mind
be banished from the place.
Religion never was designed,
Religion never was designed
To make our pleasures less,
To make our pleasures less.
We are marching to Zion,
beautiful, beautiful Zion.
We are marching upward to Zion,
The beautiful city of God.

Let those refuse to sing,
who never knew our God.
But children of the heavenly King,
but children of the heavenly King,
May speak their joys abroad,
May speak their joys abroad.
We are marching to Zion,
beautiful, beautiful Zion.
We are marching upward to Zion,
The beautiful city of God.

The men of grace have found
glory begun below.
Celestial fruits on earthly ground,
celestial fruits on earthly ground,
from faith and hope may grow,
From faith and hope may grow.
We are marching to Zion,
beautiful, beautiful Zion.
We are marching upward to Zion,
The beautiful city of God.

The hill of Zion yields
A thousand sacred sweets,
before we reach the heavenly fields,
before we reach the heavenly fields,
or walk the golden streets,
Or walk the golden streets.
We are marching to Zion,
beautiful, beautiful Zion.
We are marching upward to Zion,
The beautiful city of God.

Then let our songs abound,
and every tear be dry.
We are marching through Immanuel is ground,
We are marching through Immanuel is ground
To fairer worlds on high,
To fairer worlds on high.
We are marching to Zion,
beautiful, beautiful Zion.
We are marching upward to Zion,
The beautiful city of God."""
indonesia,Seperti Tuhanku,Charles H. Gabriel,"Seperti Tuhanku yang kurindukan,
yang lemah lembut dan rendah hati,
rajin bekerja, berani dalam benar,
lebih bersujud, selalu bergemar.
Serahkan jiwa hanya kepada Hu.
Serahkan jiwa segenap bagi Hu.
Jauhkan dosa, Tuhan tolonglahku,
basuh dan pegang jiwaku selalu.

Seperti Tuhanku, ku minta selalu
beriku kekuatan tanggung salibku,
Kerja setia untuk Kerajaan-Nya,
penuh Roh Kudus memenangkan jiwa.
Serahkan jiwa hanya kepada Hu.
Serahkan jiwa segenap bagi Hu.
Jauhkan dosa, Tuhan tolonglahku,
basuh dan pegang jiwaku selalu.

Seperti Tuhanku, hidup bagi Hu,
Penuh kasih Hu, nyata mulia Hu,
Menyangkal diri seperti Tuhan Yesus,
Seperti Tuhanku sampai ku berjumpa.
Serahkan jiwa hanya kepada Hu.
Serahkan jiwa segenap bagi Hu.
Jauhkan dosa, Tuhan tolonglahku,
basuh dan pegang jiwaku selalu."
english,More Like The Master,Charles H. Gabriel,"More like the Master, I would ever be,
more of His meekness, more humility,
More zeal to labor, more courage to be true,
More consecration for work He bids me do.
Take Thou my heart, I would be Thine alone.
Take Thou my heart, and make it all Thine own.
Purge me from sin, O Lord, I now implore,
Wash me and keep me Thine forevermore.

More like the Master is my daily prayer,
more strength to carry crosses I must bear,
more earnest effort to bring His kingdom in,
More of His Spirit, the wanderer to win.
Take Thou my heart, I would be Thine alone.
Take Thou my heart, and make it all Thine own.
Purge me from sin, O Lord, I now implore,
Wash me and keep me Thine forevermore.

More like the Master, I would live and grow,
more of His love to others I would show,
more self-denial, like His in Galilee,
more like the Master, I long to ever be.
Take Thou my heart, I would be Thine alone.
Take Thou my heart, and make it all Thine own.
Purge me from sin, O Lord, I now implore,
Wash me and keep me Thine forevermore."
indonesia,Ku Mau Setia,Howard Arnold Walter,"Ku mau setia karena ku dipercaya.
Ku mau suci karena ku dikasih.
Ku mau gagah menanggung segala susah.
Ku mau berani menghadap seteru,
Ku mau berani menghadap seteru.

Ku mau cinta pada mereka yang duka.
Ku mau memberi dengan rela hati.
Rendah hati, karena ku banyak cela.
Ku mau pandang akan kasih Allah,
selalu gemar menolong sesama.

Ku mau kasih pada Dia dan manusia.
Ku mau berserah raga, jiwa, harta.
selalu syukur, Yesus mati bagiku.
Ku mau puji sebab rahmat telah diberi,
Ku mau puji sebab rahmat telah diberi."
english,I Would Be True,Howard Arnold Walter,"I would be true, for there are those who trust me.
I would be pure, for there are those who care.
I would be strong, for there is much to suffer.
I would be brave, for there is much to dare,
I would be brave, for there is much to dare.

I would be friend of all the foe, the friendless.
I would be giving, and forget the gift.
I would be humble, for I know my weakness.
I would look up, and laugh, and love, and lift,
I would look up, and laugh, and love, and lift.

I would be faithful through each passing moment.
I would be constantly in touch with God.
I would be strong to follow where He leads me.
I would have faith to keep the path Christ trod,
I would have faith to keep the path Christ trod.

Who is so low that I am not his brother?
Who is so high that I have no path to him?
Who is so poor I may not feel his hunger?
Who is so rich I may not pity him?
Who is so rich I may not pity him?

Who is so hurt I may not know his heartache?
Who sings for joy my heart may never share?
Who in God is heaven has passed beyond my vision?
Who to Hell is depths where I may never fare?
Who to Hell is depths where I may never fare?"
english,From Glory To Glory,"2 Korintus 3:18
","From glory to glory He is changing me,
changing me, changing me.
His likeness and image to perfect in me;
The love of God shown to the world.
For He is changing, changing me
From earthly things to the heavenly.
His likeness and image to perfect in me;
The love of God shown to the world."
english,"May the Mind of Christ, My Savior",Kate B. Wilkinson,"May the mind of Christ, my Savior,
live in me from day to day.
By His love and power controlling
All I do and say.

May the Word of God dwell richly
in my heart from hour to hour,
So that all may see I triumph
only through His power.

May the peace of God, my Father,
Rule my life in everything,
That I may be calm to comfort
Sick and sorrowing.

May the love of Jesus fill me
as the waters fill the sea.
Him exalting, self abasing,
This is victory.

May I run the race before me,
strong and brave to face the foe.
Looking only unto Jesus
As I onward go.

May His beauty rest upon me
As I seek the lost to win;
And may they forget the channel,
Seeing only Him."
indonesia,Belum Pernah Ku Rendah Hati,Stephen Tong,"Dulu ku bertinggi hati,
belum pernah rendah hati,
hingga Tuhan nyatakan diri,
ku baru berbakti.
Walau ku menganiaya,
Tuhan tetap mencariku.
Kasih ajaib telah tundukkanku,
kekallah ku milik-Nya.

Dulu mataku telah buta,
dan hidup dalam gelap,
hingga Tuhan memberikan iman,
ku baru milik terang.
Walau Iblis membelengguku,
kuasa Hu-lah membebaskan.
Kasih Hu telah mengubahkanku,
kini ku milik Tuhan.

Dulu kukeraskan hati,
menempuh jalan sendiri,
hingga Tuhan memanggil daku,
ku baru tau kehendak-Mu.
Walau ku telah menolak Roh,
Dia menarikku kembali.
Jalan Tuhan diatas jalanku,
ku mau taat pada-Nya."
