language,title,author,lyrics,,
Indonesia,Tuhan Kau Kuperlukan,Annie S. Hawks,"
Ya Tuhan Maha Baik, Kau kuperlukan
Suara-Mu yang lembut memberi damai
Setiap jam, ya Tuhan, Engkau kuperlukan;
ku datang, Juruselamat, berkatilah!


Ya Tuhan tiap jam, Kau kuperlukan
Godaan kan kalah jika ku dekat-Mu

Ya Tuhan tiap jam, di suka dukaku
Puaslah hidupku, Tuhan di dalamku


Ya Tuhan tiap jam, ajarku maksud-Mu
Genapkan janji-Mu di dalam hidupku


Tuhan Maha Suci, Kau kuperlukan
Menolong diriku, serupa Anak-Mu",,
English,I Need Thee,Annie S. Hawks,"
I need Thee every hour, most gracious Lord;
No tender voice like Thine can peace afford.

I need Thee, oh, I need Thee;
Every hour I need Thee;
Oh, bless me now, my Savior,
I come to Thee.

I need Thee every hour, stay Thou nearby;
Temptations lose their power when Thou art nigh.

I need Thee every hour, in joy or pain;
Come quickly and abide, or life is vain.

I need Thee every hour; teach me Thy will;
And Thy rich promises in me fulfill.

I need Thee every hour, most Holy One;
Oh, make me Thine indeed, Thou blessed Son.",,
Indonesia,Sungguh Mulia,Johannes D. Falk,"Sungguh mulia, berkarunia
Hari Natal yang kudus.
Duka berakhir: Kristus telah lahir.
Mari bernyanyi dengan merdu!


Sungguh mulia, berkarunia
Hari Natal yang kudus.
Damai ilahi nyata kembali.
Mari bernyanyi dengan merdu!

Sungguh mulia, berkarunia
Hari Natal yang kudus.
Sambut semua pujian surga.
Mari bernyanyi dengan merdu!
                                        
                                    ",,
Indonesia,Setia Sampai Mati,Calvin Chao,"Domba Allah cerai-berai, tiada bergembala,
bilakah kucari jiwa, kalau bukan sekarang?
Oh, Tuhan sucikan daku, uji dan pakai daku,
Roh Kudus kuatkan daku, setia selalu pada Hu.

Ku telah tinggalkan segalanya, pikul salib ikut Hu;
Mulia harta benda dunia, hanya sampah bagiku.
Tuhanku setia sungguh, tak pernah tinggalkanku;
ku tak bimbang, ku tak takut, tetap ikut Tuhanku.

Meski jalanku berduri, penuh susah dan gelap,
jalan salib memang sukar, hatiku selalu tetap.
Tuhan berilah penghiburan, itu cukup bagiku,
Mengenang Tuhan di dunia, lebih piatu dariku.

Jalanku masih belum tahu, rahmat-Mu teguhkanku,
jikalau ku mati gugur, jadilah kehendak-Mu.
Tinggalkan sanak keluarga, Tuhan kan pelihara,
Tunaikan tugas yang mulia, setia sampai selamanya.",,
Indonesia,Hai Masyurkanlah,Charles Wesley,"Hai masyhurkanlah Allahmu kudus;
besar nama-Nya beritakan terus,
Agungkanlah Dia yang penuh kuasa,
kekal dan mulia Kerajaan-Nya.

Muliakanlah Bapa yang kekal;
Muliakanlah, Sang Anak Allah,
malaikat di surga dengan bersujud,
sembah Anak Domba yang Maha Kudus.

Kepada-Nyalah syukur abadi,
Kepada-Nyalah, sembah tak henti,
kuasa dan hikmat pujian merdu,
kemuliaan, hormat, dan kasih penuh.",,
Indonesia,Beruntungkah Aku,Charles Wesley,"Beruntungkah aku dalam kasih akan darah Tuhan?
Menderita serta mati oleh tuntutan hidupku.
Betapakah anugerah-Nya, Tuhan telah mati untukku.
Betapakah anugerah-Nya, Tuhan telah mati untukku.

Ditinggalkan takhta Bapa, penuh dengan anugerah-Nya.
hampakan seluruh hidup-Nya, angkat kegagalan dunia.
Oh Tuhanku, ya rahmat Hu, anugerah-Nya mengangkatku.
Dan kasih-Mu temukanku, ku diangkat, dibebaskan.

Hilang segala hukuman sebab Kristus itu milikku.
yang jadi pohon hidupku, berpakaikan kebenaran.
Kuterimalah mahkotaku, terjamin sudah hidupku.
Kuterimalah mahkotaku, terjamin sudah hidupku.",,
Indonesia,Yesus Ku Cinta-Mu,Adoniram J. Gordon,"Yesus ku cinta-Mu, aku milik-Mu.
Ku benci dosaku karena kasih-Mu.
Engkau Juruselamat dan Penebusku.
Aku mau lebih cinta pada-Mu.

Ku cinta karena Engkau cinta dulu.
Dosaku tertebus dengan darah-Mu.
Duri Kau kenakan karena dosaku.
Aku mau lebih cinta pada-Mu.

Hidup atau mati, aku milik-Mu.
Nama-Mu kupuji setiap waktu.
Ya, sampai ajalku tetap cinta-Mu.
Aku mau lebih cinta pada-Mu.",,
Indonesia,"O Tuhanku, Sucikan Hatiku",James Edwin Orr,"O Tuhanku, selidiki hatiku,
Ujilah Tuhan, genap pikiranku;
Jangan ada dosa di dalamku,
Sucikanlah daku, bebaskanku.

Puji Tuhan, hapuskan dosaku,
Mohon Firman Hu kuduskan daku.
Dengan api bakarlah cemarku.
Kini yang kumohon: Muliakan Hu

Rohul Kudus, bakarlah hatiku,
Genap jiwaku, penuhlah Roh-Mu.
eGar ku suci, tulus penuh kasih.
Segenap hidupku berupa berkat.",,
Indonesia,Umat Tuhan Menantikan,Charles Wesley,"Umat Tuhan menantikan kedatangan Kristus;
beri damai, bebaskan takut, dosa kami dihapus.
Kaulah kekuatan, penghiburan, pengharapan kami;
Yang dinanti seluruh bangsa, sukacita abadi.

Bayi itulah Sang Raja yang bebaskan umat-Nya;
lahir tuk memerintah kita, membawa Kerajaan-Nya.
Hanya Roh Kudus-Mu, Tuhan, memerintah hati kami;
Hanya oleh anugerah saja, surga kami masuki.",,
Indonesia,Rahmat Yesus Yang Indah,Haldor Lillenas,"Rahmat Yesus yang indah hapuskan dosaku;
tak dapat kulukiskan dengan pujianku.
Dosaku ditanggung-Nya, jiwaku bebaslah,
rahmat Yesus yang indah menyelamatkanku.

Betapa indahnya rahmat Yesus, lebih dalam dari samudra;
yang teramat tinggi, dan teramat indah,
anugerah-Nya cukup bagiku;
Melebihi segala celaku, lebih besar dari dosaku;
O puji nama Yesus yang terindah pujilah.

Rahmat Yesus yang indah pada yang tersesat;
Siapa yang mau percaya, dapat keselamatan.
Belenggu dipatahkan-Nya dan beri kelepasan,
rahmat Yesus yang indah menyelamatkanku.

Rahmat Yesus yang indah pada yang berdosa;
bersandarkan kuasa-Nya, ku jadi milik-Nya.
Ku diberi sentosa-Nya dan berkat yang kekal,
rahmat Yesus yang indah menyelamatkanku.",,
